1/25/2022, 10:50:00 AM,35964.4,35964.4,35908.52,35922.24,31.63878
1/25/2022, 10:51:00 AM,35922.23,35953.93,35908.65,35952.12,25.06247
1/25/2022, 10:52:00 AM,35949.49,35964.4,35945,35961.94,13.20111
1/25/2022, 10:53:00 AM,35961.86,35979.31,35897.84,35926.1,28.14962
1/25/2022, 10:54:00 AM,35929,35930.94,35881.37,35898.68,17.63856
1/25/2022, 10:55:00 AM,35898.84,35934.19,35848.94,35856.63,45.07581
1/25/2022, 10:56:00 AM,35858.13,35873,35829.21,35869.72,36.11276
1/25/2022, 10:57:00 AM,35869.72,35896.52,35865.3,35871.59,13.44813
1/25/2022, 10:58:00 AM,35871.59,35890.91,35865.98,35878.27,7.46477
1/25/2022, 10:59:00 AM,35878.27,35893.78,35857.31,35857.31,11.45737
1/25/2022, 11:00:00 AM,35857.32,35922.52,35828.56,35921.72,55.67646
1/25/2022, 11:01:00 AM,35921.72,35957.43,35912.64,35952.07,23.02352
1/25/2022, 11:02:00 AM,35951.6,35958.53,35876.42,35878.64,43.56076
1/25/2022, 11:03:00 AM,35876.42,35920.02,35875.2,35916.6,10.09799
1/25/2022, 11:04:00 AM,35916.6,35921.87,35886.94,35899.94,8.74919
1/25/2022, 11:05:00 AM,35899.94,35939.22,35888.57,35933.03,8.83709
1/25/2022, 11:06:00 AM,35933.03,35934.83,35900,35903.41,9.96881
1/25/2022, 11:07:00 AM,35900.01,35939.06,35900,35909.53,5.33006
1/25/2022, 11:08:00 AM,35909.53,35944.3,35908.51,35942.5,8.56769
1/25/2022, 11:09:00 AM,35942.49,35972.77,35924.25,35927.79,8.66962
1/25/2022, 11:10:00 AM,35927.79,35996.56,35921.21,35985.68,14.21842
1/25/2022, 11:11:00 AM,35985.68,36018,35983.49,35998.88,11.86331
1/25/2022, 11:12:00 AM,35998.88,36025.53,35995,36013.85,11.14951
1/25/2022, 11:13:00 AM,36013.86,36029.99,36007.63,36014.93,26.2514
1/25/2022, 11:14:00 AM,36014.93,36021.92,35987.32,36021.91,11.2334
1/25/2022, 11:15:00 AM,36021.91,36028.7,36002.09,36007.7,7.51064
1/25/2022, 11:16:00 AM,36007.7,36059.24,36004.58,36054.32,28.7523
1/25/2022, 11:17:00 AM,36054.32,36059.24,35980,35982.29,10.04538
1/25/2022, 11:18:00 AM,35982.3,35982.3,35962.43,35974,9.51665
1/25/2022, 11:19:00 AM,35974,36008.74,35964.89,35976.46,6.17942
1/25/2022, 11:20:00 AM,35976.46,36023.59,35976.45,36008.82,7.98734
1/25/2022, 11:21:00 AM,36008.82,36010.89,35977.02,35993.83,8.04961
1/25/2022, 11:22:00 AM,35993.83,36017.66,35988.23,35999.48,7.76956
1/25/2022, 11:23:00 AM,35999.48,36025.42,35977.83,36024.81,10.30382
1/25/2022, 11:24:00 AM,36025.41,36049.5,36020.32,36020.42,15.14017
1/25/2022, 11:25:00 AM,36020.42,36049.77,36002.94,36047.21,4.37406
1/25/2022, 11:26:00 AM,36047.21,36066.89,36023.2,36028.5,7.34276
1/25/2022, 11:27:00 AM,36031.97,36077.17,36028.5,36065.2,14.56958
1/25/2022, 11:28:00 AM,36065.2,36085.15,36062.94,36076.7,7.71928
1/25/2022, 11:29:00 AM,36076.69,36090.02,36054.81,36054.81,14.63648
1/25/2022, 11:30:00 AM,36054.81,36123.85,36054.81,36104.03,38.77741
